rule_id,rule_kind,feature,concept_group,applicability,not_applicable_when,condition_evidence_required,when_condition_unevidenced,null_reason_when_not_applicable,null_reason_when_applicable_but_absent,required_source_classes,basis
AR-021,APPLICABILITY,net_margin,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-022,APPLICABILITY,non_current_assets,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-023,APPLICABILITY,operating_income,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-024,APPLICABILITY,operating_income_growth_pct,G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-9,Stage-A 10.4: a growth rate cannot be evidenced without an evidenced base period.
AR-025,APPLICABILITY,pb_ratio,G3,CONDITIONAL,equity <= 0,SC-4 evidenced equity sign for the admitted fiscal_year_of_record,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,Stage-A 10.4: market_cap / equity is defined only where equity is positive and validated.
AR-026,APPLICABILITY,pe_ratio,G3,CONDITIONAL,net_income <= 0,SC-4 evidenced net income sign for the admitted fiscal_year_of_record,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,Stage-A 10.4: market_cap / net_income is defined only where net income is positive.
AR-027,APPLICABILITY,price_adjclose_t,G6,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4 declares this a never-not-applicable price anchor.
AR-028,APPLICABILITY,price_data_available,G6,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4 declares this a never-not-applicable price anchor; the acquisition status is evidence and is never defaulted into a value.
AR-029,APPLICABILITY,price_drawdown_from_3y_high_pct,G6,CONDITIONAL,first-party evidence shows the security was not trading for the full T-2 through T window,SC-6 trading status at every year end in T-2..T,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4: the concept does not exist without an evidenced full T-2 through T trading window. An incomplete window is not a zero drawdown.
AR-030,APPLICABILITY,price_history_years_available,G6,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4 declares this a never-not-applicable anchor; the count is taken only over the declared T-2 through T window.
AR-031,APPLICABILITY,price_momentum_1y_pct,G6,CONDITIONAL,first-party evidence shows the security was not trading at the T-1 year end,SC-6 trading status at the T-1 year end,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4: the concept does not exist before evidenced listing or trading.
AR-032,APPLICABILITY,price_momentum_2y_pct,G6,CONDITIONAL,first-party evidence shows the security was not trading for the full T-2 through T window,SC-6 trading status at every year end in T-2..T,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-6,Stage-A 10.4: the concept does not exist without the full evidenced lookback window.
AR-033,APPLICABILITY,price_vs_bist100_1y_pct,G6,CONDITIONAL,first-party evidence shows the security was not trading at the T-1 year end,SC-6 trading status at the T-1 year end,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-6;SC-7,Stage-A 10.4: the concept does not exist before evidenced listing or trading; it also requires PRICE_INDEX evidence for the same window.
AR-034,APPLICABILITY,revenue,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-035,APPLICABILITY,revenue_growth_pct,G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-9,Stage-A 10.4: a growth rate cannot be evidenced without an evidenced base period.
AR-036,APPLICABILITY,roa,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-037,APPLICABILITY,roe,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-038,APPLICABILITY,short_term_liabilities,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-039,APPLICABILITY,total_assets,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-040,APPLICABILITY,working_capital,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-041,ADMISSIBILITY,(all governed features),G1..G6,PER_FEATURE_APPLICABILITY,,,N/A,,PIT_INADMISSIBLE;PIT_UNVERIFIABLE,SC-1;SC-2;SC-3;SC-4;SC-5;SC-6;SC-7;SC-9;SC-10,D1 admissibility gate. Unknown first-public timing is PIT_UNVERIFIABLE; first-public timing after the calendar-year-end cutoff is PIT_INADMISSIBLE. Applicability per member stays governed by AR-001..AR-040 under Stage-A 10.4.
AR-042,ADMISSIBILITY,(five growth features),G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,BASIS_MISMATCH;BASIS_UNKNOWN,SC-4;SC-9,"D4 basis gate for the five Stage-A 10.4 growth members. It carries the same Stage-A 10.4 applicability as AR-005, AR-013, AR-020, AR-024, and AR-035; where the member is applicable, the two input cells must additionally share source_document_id and all six of accounting_framework_id, measurement_basis, value_version, measuring_unit_date, currency_code, and consolidation_basis."
AR-043,ADMISSIBILITY,financial_debt_ratio,G5,ALWAYS_APPLICABLE,,,N/A,,DEFINITION_UNAVAILABLE,SC-10,"D3 definition gate. Stage-A 10.4 lists no not-applicable condition, so the member is always applicable; a value is admissible only when one explicit panel-wide definition_id and its complete definition metadata are supplied. The resulting G5 failure is accepted and Stage-A 10.3 is not relaxed."
AR-044,ADMISSIBILITY,price_drawdown_from_3y_high_pct,G6,CONDITIONAL,first-party evidence shows the security was not trading for the full T-2 through T window,SC-6 trading status at every year end in T-2..T,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,WINDOW_INCOMPLETE,SC-6,"B2 window gate. It carries the same Stage-A 10.4 applicability as AR-029. Where the member is applicable, an evidenced SUCCESS price observation is required at every year end in T-2..T; a gap inside an applicable window is Stage-A 10.5 missingness, never non-applicability, and never a zero drawdown."
AR-045,ADMISSIBILITY,price_history_years_available,G6,ALWAYS_APPLICABLE,,,N/A,,MISSING_NOT_EVIDENCED,SC-6,B1 window gate. Stage-A 10.4 declares this anchor never not-applicable; the history count is window-relative and cannot be changed by later-acquired earlier history.
AR-046,ADMISSIBILITY,(all governed features),G1..G6,PER_FEATURE_APPLICABILITY,,,N/A,,FROZEN_SCREEN_REJECTED,SC-4;SC-5;SC-6;SC-7;SC-9;SC-10,Repeated-value screen gate. Only PASSED or NOT_APPLICABLE screen statuses admit a cell. Applicability per member stays governed by AR-001..AR-040 under Stage-A 10.4.
AR-047,ADMISSIBILITY,(all governed features),G1..G6,PER_FEATURE_APPLICABILITY,,,N/A,,CONFLICT_UNADJUDICATED,SC-1;SC-2;SC-3;SC-4;SC-5;SC-6;SC-7;SC-9;SC-10,Conflict gate. Conflicting candidates are preserved in the ledger and never resolved by last write. Applicability per member stays governed by AR-001..AR-040 under Stage-A 10.4.
AR-048,ADMISSIBILITY,(all governed features),G1..G6,PER_FEATURE_APPLICABILITY,,,N/A,,LEGACY_SOURCE_FORBIDDEN,SC-4;SC-5;SC-6;SC-7;SC-9;SC-10,"D5 quarantine gate. The legacy vendor-snapshot label is not a registered source class and may appear only in the isolated _legacy_unverified namespace, never as the value origin of a governed v2 feature. Applicability per member stays governed by AR-001..AR-040 under Stage-A 10.4."
