model,model_kind,year,scenario_id,scenario_role,cost_bps_assumption,basket_size,selected_tickers_ranked,gross_basket_mean_return_pct,turnover_from_prior_year,cost_drag_pct_points,net_basket_mean_return_pct,chart_stamp
baseline_equal_weight,baseline,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,50.0,-21.716532557,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,0.0,44.0034868186,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.0,51.1296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.1,51.0296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.4,50.7296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,40.0,11.1296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.0,28.283467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.125,28.158467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.5,27.783467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_rank_score,baseline,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,50.0,-21.716532557,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,KUYAS|KONTR|MIATK|CANTE|NTGAZ|ISGYO|THYAO|PRKME|HEKTS|BTCIM,59.2449672693,,0.0,59.2449672693,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,KUYAS|KONTR|MIATK|CANTE|NTGAZ|ISGYO|THYAO|PRKME|HEKTS|BTCIM,59.2449672693,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,KUYAS|KONTR|MIATK|CANTE|NTGAZ|ISGYO|THYAO|PRKME|HEKTS|BTCIM,59.2449672693,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KUYAS|KONTR|MIATK|CANTE|NTGAZ|ISGYO|THYAO|PRKME|HEKTS|BTCIM,59.2449672693,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|KUYAS|BTCIM|CANTE|SASA|THYAO|MIATK|PASEU|SMRTG|PGSUS,19.3860290135,0.4,0.0,19.3860290135,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|KUYAS|BTCIM|CANTE|SASA|THYAO|MIATK|PASEU|SMRTG|PGSUS,19.3860290135,0.4,0.1,19.2860290135,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|KUYAS|BTCIM|CANTE|SASA|THYAO|MIATK|PASEU|SMRTG|PGSUS,19.3860290135,0.4,0.4,18.9860290135,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|KUYAS|BTCIM|CANTE|SASA|THYAO|MIATK|PASEU|SMRTG|PGSUS,19.3860290135,0.4,40.0,-20.6139709865,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,SASA|CANTE|TRMET|THYAO|BTCIM|PETKM|PRKME|KRDMD|PASEU|TSKB,33.790211309,0.5,0.0,33.790211309,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,SASA|CANTE|TRMET|THYAO|BTCIM|PETKM|PRKME|KRDMD|PASEU|TSKB,33.790211309,0.5,0.125,33.665211309,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,SASA|CANTE|TRMET|THYAO|BTCIM|PETKM|PRKME|KRDMD|PASEU|TSKB,33.790211309,0.5,0.5,33.290211309,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
elasticnet,ml,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,SASA|CANTE|TRMET|THYAO|BTCIM|PETKM|PRKME|KRDMD|PASEU|TSKB,33.790211309,0.5,50.0,-16.209788691,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|CANTE|HEKTS|THYAO|SMRTG|KUYAS|LOGO|ALARK|BTCIM|TURSG,51.2278813033,,0.0,51.2278813033,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|CANTE|HEKTS|THYAO|SMRTG|KUYAS|LOGO|ALARK|BTCIM|TURSG,51.2278813033,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|CANTE|HEKTS|THYAO|SMRTG|KUYAS|LOGO|ALARK|BTCIM|TURSG,51.2278813033,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|CANTE|HEKTS|THYAO|SMRTG|KUYAS|LOGO|ALARK|BTCIM|TURSG,51.2278813033,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|CANTE|KUYAS|BRSAN|THYAO|MIATK|ULKER|BTCIM|CIMSA|ALARK,12.9333731805,0.4,0.0,12.9333731805,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|CANTE|KUYAS|BRSAN|THYAO|MIATK|ULKER|BTCIM|CIMSA|ALARK,12.9333731805,0.4,0.1,12.8333731805,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|CANTE|KUYAS|BRSAN|THYAO|MIATK|ULKER|BTCIM|CIMSA|ALARK,12.9333731805,0.4,0.4,12.5333731805,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|CANTE|KUYAS|BRSAN|THYAO|MIATK|ULKER|BTCIM|CIMSA|ALARK,12.9333731805,0.4,40.0,-27.0666268195,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,THYAO|MGROS|KUYAS|AKENR|ULUSE|HEKTS|PRKME|CEMTS|ALARK|NETAS,11.9808915952,0.7,0.0,11.9808915952,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,THYAO|MGROS|KUYAS|AKENR|ULUSE|HEKTS|PRKME|CEMTS|ALARK|NETAS,11.9808915952,0.7,0.175,11.8058915952,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,THYAO|MGROS|KUYAS|AKENR|ULUSE|HEKTS|PRKME|CEMTS|ALARK|NETAS,11.9808915952,0.7,0.7,11.2808915952,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
gradient_boosting,ml,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,THYAO|MGROS|KUYAS|AKENR|ULUSE|HEKTS|PRKME|CEMTS|ALARK|NETAS,11.9808915952,0.7,70.0,-58.0191084048,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,CANTE|MIATK|NTGAZ|KONTR|ISGYO|KUYAS|SMRTG|HEKTS|THYAO|SASA,42.8502003121,,0.0,42.8502003121,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,CANTE|MIATK|NTGAZ|KONTR|ISGYO|KUYAS|SMRTG|HEKTS|THYAO|SASA,42.8502003121,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,CANTE|MIATK|NTGAZ|KONTR|ISGYO|KUYAS|SMRTG|HEKTS|THYAO|SASA,42.8502003121,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,CANTE|MIATK|NTGAZ|KONTR|ISGYO|KUYAS|SMRTG|HEKTS|THYAO|SASA,42.8502003121,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|KUYAS|SMRTG|MIATK|KCHOL|PGSUS|ASTOR|ENKAI|FROTO|CANTE,17.1774302644,0.5,0.0,17.1774302644,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|KUYAS|SMRTG|MIATK|KCHOL|PGSUS|ASTOR|ENKAI|FROTO|CANTE,17.1774302644,0.5,0.125,17.0524302644,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|KUYAS|SMRTG|MIATK|KCHOL|PGSUS|ASTOR|ENKAI|FROTO|CANTE,17.1774302644,0.5,0.5,16.6774302644,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|KUYAS|SMRTG|MIATK|KCHOL|PGSUS|ASTOR|ENKAI|FROTO|CANTE,17.1774302644,0.5,50.0,-32.8225697356,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,TRMET|CANTE|KRDMD|THYAO|SASA|TTKOM|TRALT|EKGYO|SISE|PASEU,54.6052001191,0.9,0.0,54.6052001191,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,TRMET|CANTE|KRDMD|THYAO|SASA|TTKOM|TRALT|EKGYO|SISE|PASEU,54.6052001191,0.9,0.225,54.3802001191,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,TRMET|CANTE|KRDMD|THYAO|SASA|TTKOM|TRALT|EKGYO|SISE|PASEU,54.6052001191,0.9,0.9,53.7052001191,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
lasso,ml,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,TRMET|CANTE|KRDMD|THYAO|SASA|TTKOM|TRALT|EKGYO|SISE|PASEU,54.6052001191,0.9,90.0,-35.3947998809,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,CANTE|MIATK|NTGAZ|KONTR|SMRTG|KUYAS|ISGYO|PGSUS|HEKTS|ASTOR,49.358903094,,0.0,49.358903094,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,CANTE|MIATK|NTGAZ|KONTR|SMRTG|KUYAS|ISGYO|PGSUS|HEKTS|ASTOR,49.358903094,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,CANTE|MIATK|NTGAZ|KONTR|SMRTG|KUYAS|ISGYO|PGSUS|HEKTS|ASTOR,49.358903094,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,CANTE|MIATK|NTGAZ|KONTR|SMRTG|KUYAS|ISGYO|PGSUS|HEKTS|ASTOR,49.358903094,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|KCHOL|SMRTG|CANTE|PGSUS|ASTOR|KUYAS|ENKAI|MIATK|BTCIM,15.9820271367,0.3,0.0,15.9820271367,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|KCHOL|SMRTG|CANTE|PGSUS|ASTOR|KUYAS|ENKAI|MIATK|BTCIM,15.9820271367,0.3,0.075,15.9070271367,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|KCHOL|SMRTG|CANTE|PGSUS|ASTOR|KUYAS|ENKAI|MIATK|BTCIM,15.9820271367,0.3,0.3,15.6820271367,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|KCHOL|SMRTG|CANTE|PGSUS|ASTOR|KUYAS|ENKAI|MIATK|BTCIM,15.9820271367,0.3,30.0,-14.0179728633,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,KRDMD|TRMET|CANTE|TTKOM|TRALT|ENKAI|EREGL|PRKME|VESTL|SASA,12.286633933,0.8,0.0,12.286633933,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,KRDMD|TRMET|CANTE|TTKOM|TRALT|ENKAI|EREGL|PRKME|VESTL|SASA,12.286633933,0.8,0.2,12.086633933,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,KRDMD|TRMET|CANTE|TTKOM|TRALT|ENKAI|EREGL|PRKME|VESTL|SASA,12.286633933,0.8,0.8,11.486633933,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
linear_regression,ml,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KRDMD|TRMET|CANTE|TTKOM|TRALT|ENKAI|EREGL|PRKME|VESTL|SASA,12.286633933,0.8,80.0,-67.713366067,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|CANTE|THYAO|HEKTS|ALARK|KUYAS|TRALT|NTGAZ|PGSUS|PRKME,7.4994563178,,0.0,7.4994563178,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|CANTE|THYAO|HEKTS|ALARK|KUYAS|TRALT|NTGAZ|PGSUS|PRKME,7.4994563178,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|CANTE|THYAO|HEKTS|ALARK|KUYAS|TRALT|NTGAZ|PGSUS|PRKME,7.4994563178,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|CANTE|THYAO|HEKTS|ALARK|KUYAS|TRALT|NTGAZ|PGSUS|PRKME,7.4994563178,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,KONTR|KUYAS|THYAO|MIATK|NTGAZ|LOGO|ALARK|EGEEN|BTCIM|ISGYO,13.0955049298,0.5,0.0,13.0955049298,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,KONTR|KUYAS|THYAO|MIATK|NTGAZ|LOGO|ALARK|EGEEN|BTCIM|ISGYO,13.0955049298,0.5,0.125,12.9705049298,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,KONTR|KUYAS|THYAO|MIATK|NTGAZ|LOGO|ALARK|EGEEN|BTCIM|ISGYO,13.0955049298,0.5,0.5,12.5955049298,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,KONTR|KUYAS|THYAO|MIATK|NTGAZ|LOGO|ALARK|EGEEN|BTCIM|ISGYO,13.0955049298,0.5,50.0,-36.9044950702,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,THYAO|MGROS|KUYAS|AKENR|HEKTS|PRKME|NETAS|ULUSE|TRALT|PETKM,15.6516685201,0.8,0.0,15.6516685201,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,THYAO|MGROS|KUYAS|AKENR|HEKTS|PRKME|NETAS|ULUSE|TRALT|PETKM,15.6516685201,0.8,0.2,15.4516685201,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,THYAO|MGROS|KUYAS|AKENR|HEKTS|PRKME|NETAS|ULUSE|TRALT|PETKM,15.6516685201,0.8,0.8,14.8516685201,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
random_forest,ml,2025,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,THYAO|MGROS|KUYAS|AKENR|HEKTS|PRKME|NETAS|ULUSE|TRALT|PETKM,15.6516685201,0.8,80.0,-64.3483314799,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
